index,category,plaintext,key,ciphertext
83,random,DE05C17AA3D3975BC016070893E30033,C8E8E0C03F28F37C506D960F60EF384A,DA959ADA729025655229343975AF5987
84,random,2C57592644DABAFA3C73486AE4465D72,2CBA063D77E8CEAC439BCBA15C71DDC4,49913AAE69645F5D5034606EE920CE44
85,random,68F01B463C419F3BA8EE1B3502CBE529,084077DCDB3CCE5A34556316F855ACA5,2D474A095A2A5BC15EA2E96816BFC86C
86,random,440E614C411CC9875F9B088DB0634A1C,A702D00482DA7A42FB76494A544936FD,80EA15EE87C0E8DD67D713E51282DF66
87,random,777B7E81F2B883CCD0711B32B4119226,0642DFAAA688689F6AF459A22B5C45F5,6706BBB6E3B5A6A3FEC656CEE4F40446
88,random,4D082A68697BFC67ECD6133D95A0169B,FEC7F536E86B093BD92F400E1D7BAC70,ED66F0B3EB0F0AA84251DAAF4F960169
89,random,F7356953E711B2E3FF464A2D92C468FF,806D73A70CAF47CBD8C726AD04A5698C,E38639433CAE29450495DDA8D49B19B2
90,random,394285EAE651073C6FEA9F162D596769,632DD12929D00D7138166F3CD2649699,47759DB360CC5F44F2611E61E55240D1
91,random,0F83FDF8E173BE6CB914F067EC548F9E,38CD2C399B8960FA3298368ECC9D034A,2763897D69CB21019B8BAFCFCE9DAA3E
92,random,A73D374350F525559DF75674456E2CE2,FF0469423A4D0FAB315A34D019F4A0E3,2C242727454566CDEE20C7F2800D2D79
93,random,F84B38F3CAF127698E8FF8F624109D32,D5BAB298DA76854E3315C4306A3CCA92,B6D0EBAB2C773DD87B469A271F87A589
94,random,ECDC0D4A58664A49947236349EEF76D6,B7228E868E5D48A01441FE9B4A3AF1C2,A42FAF7C7562FCC726E531B443332472
95,random,EDC6ECCC71618E8BE15CA00258896F64,C7842A66BFF34BF9E4BD77D5D71D1C3A,023F09D4C4E5E943690BC647F2EA518A
96,random,01347EE12EC7863801EBF8391F253011,39DCF11278C010A638A5D647C4DDCDD8,47B5AF60D5B4E2382A65A97B1EB334B3
97,random,290BD1C182B2504E8F8ECADB8E95FAFF,13CFC17EA97D5CAF368B74124CF034A4,E6C29F91409046A45DD21A82AF68B1D0
98,random,DDA4C9B4DDD8EE63B3F4AC3176E82D58,79DA36087F93AD40531DC337C7C3CA85,30149818F7DE10C624527A6909FADC1C
99,random,05780A96DA3D826B89A14A24B967C8A4,2768ADF1FCA05B20F16CF2F9AFF245E2,1A6981C7C4C7E0154E39E6B5D551CAEC
